intersection	direction	sample_index	selected_video	output_image
深盐梧桐20251219	西	2	/data3/VLA_LLM_DATA/深盐梧桐20251219/西/D8_20251218190730_20251218192453.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/西/02__D8_20251218190730_20251218192453.jpg
深盐梧桐20251219	西	3	/data3/VLA_LLM_DATA/深盐梧桐20251219/西/D8_20251218203430_20251218205151.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/西/03__D8_20251218203430_20251218205151.jpg
深盐梧桐20251219	西	4	/data3/VLA_LLM_DATA/深盐梧桐20251219/西/D8_20251218091336_20251218093106.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/西/04__D8_20251218091336_20251218093106.jpg
深盐梧桐20251219	西	5	/data3/VLA_LLM_DATA/深盐梧桐20251219/西/D8_20251218201707_20251218203430.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/西/05__D8_20251218201707_20251218203430.jpg
深盐沙深20251218	东	1	/data3/VLA_LLM_DATA/深盐沙深20251218/东/D1_20251217080000_20251217080708.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/东/01__D1_20251217080000_20251217080708.jpg
深盐沙深20251218	东	2	/data3/VLA_LLM_DATA/深盐沙深20251218/东/D1_20251217084142_20251217085859.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/东/02__D1_20251217084142_20251217085859.jpg
深盐沙深20251218	东	3	/data3/VLA_LLM_DATA/深盐沙深20251218/东/D1_20251217190212_20251217191926.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/东/03__D1_20251217190212_20251217191926.jpg
深盐沙深20251218	东	4	/data3/VLA_LLM_DATA/深盐沙深20251218/东/D1_20251217193639_20251217195353.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/东/04__D1_20251217193639_20251217195353.jpg
深盐沙深20251218	东	5	/data3/VLA_LLM_DATA/深盐沙深20251218/东/D1_20251217202821_20251217204535.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/东/05__D1_20251217202821_20251217204535.jpg
深盐沙深20251218	北	1	/data3/VLA_LLM_DATA/深盐沙深20251218/北/D6_20251223181351_20251223183104.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/北/01__D6_20251223181351_20251223183104.jpg
深盐沙深20251218	北	2	/data3/VLA_LLM_DATA/深盐沙深20251218/北/D6_20251223090502_20251223092216.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/北/02__D6_20251223090502_20251223092216.jpg
深盐沙深20251218	北	3	/data3/VLA_LLM_DATA/深盐沙深20251218/北/D6_20251223175636_20251223181351.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/北/03__D6_20251223175636_20251223181351.jpg
深盐沙深20251218	北	4	/data3/VLA_LLM_DATA/深盐沙深20251218/北/D6_20251223092216_20251223093930.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/北/04__D6_20251223092216_20251223093930.jpg
深盐沙深20251218	北	5	/data3/VLA_LLM_DATA/深盐沙深20251218/北/D6_20251223192246_20251223194001.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/北/05__D6_20251223192246_20251223194001.jpg
深盐沙深20251218	南	1	/data3/VLA_LLM_DATA/深盐沙深20251218/南/D6_20251218094302_20251218100027.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/南/01__D6_20251218094302_20251218100027.jpg
深盐沙深20251218	南	2	/data3/VLA_LLM_DATA/深盐沙深20251218/南/D6_20251218205220_20251218205959.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/南/02__D6_20251218205220_20251218205959.jpg
深盐沙深20251218	南	3	/data3/VLA_LLM_DATA/深盐沙深20251218/南/D6_20251218083248_20251218085021.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/南/03__D6_20251218083248_20251218085021.jpg
深盐沙深20251218	南	4	/data3/VLA_LLM_DATA/深盐沙深20251218/南/D6_20251218185015_20251218190741.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/南/04__D6_20251218185015_20251218190741.jpg
深盐沙深20251218	南	5	/data3/VLA_LLM_DATA/深盐沙深20251218/南/D6_20251218200000_20251218201727.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/南/05__D6_20251218200000_20251218201727.jpg
深盐沙深20251218	西	1	/data3/VLA_LLM_DATA/深盐沙深20251218/西/D1_20251218200351_20251218202115.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/西/01__D1_20251218200351_20251218202115.jpg
深盐沙深20251218	西	2	/data3/VLA_LLM_DATA/深盐沙深20251218/西/D1_20251218083843_20251218085624.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/西/02__D1_20251218083843_20251218085624.jpg
深盐沙深20251218	西	3	/data3/VLA_LLM_DATA/深盐沙深20251218/西/D1_20251218080000_20251218080335.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/西/03__D1_20251218080000_20251218080335.jpg
深盐沙深20251218	西	4	/data3/VLA_LLM_DATA/深盐沙深20251218/西/D1_20251218194625_20251218200351.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/西/04__D1_20251218194625_20251218200351.jpg
深盐沙深20251218	西	5	/data3/VLA_LLM_DATA/深盐沙深20251218/西/D1_20251218094922_20251218100700.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐沙深20251218/西/05__D1_20251218094922_20251218100700.jpg
深盐海山20251217	东	1	/data3/VLA_LLM_DATA/深盐海山20251217/东/D2_20251216082131_20251216083930.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/东/01__D2_20251216082131_20251216083930.jpg
深盐海山20251217	东	2	/data3/VLA_LLM_DATA/深盐海山20251217/东/D2_20251216093318_20251216095111.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/东/02__D2_20251216093318_20251216095111.jpg
深盐海山20251217	东	3	/data3/VLA_LLM_DATA/深盐海山20251217/东/D2_20251216080331_20251216082131.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/东/03__D2_20251216080331_20251216082131.jpg
深盐海山20251217	东	4	/data3/VLA_LLM_DATA/深盐海山20251217/东/D2_20251216091520_20251216093318.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/东/04__D2_20251216091520_20251216093318.jpg
深盐海山20251217	东	5	/data3/VLA_LLM_DATA/深盐海山20251217/东/D2_20251216080000_20251216080331.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/东/05__D2_20251216080000_20251216080331.jpg
深盐海山20251217	北	1	/data3/VLA_LLM_DATA/深盐海山20251217/北/D8_20251217081004_20251217082820.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/北/01__D8_20251217081004_20251217082820.jpg
深盐海山20251217	北	2	/data3/VLA_LLM_DATA/深盐海山20251217/北/D8_20251217082820_20251217084640.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/北/02__D8_20251217082820_20251217084640.jpg
深盐海山20251217	北	3	/data3/VLA_LLM_DATA/深盐海山20251217/北/D8_20251216184552_20251216190358.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/北/03__D8_20251216184552_20251216190358.jpg
深盐海山20251217	北	4	/data3/VLA_LLM_DATA/深盐海山20251217/北/D8_20251216193946_20251216195736.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/北/04__D8_20251216193946_20251216195736.jpg
深盐海山20251217	北	5	/data3/VLA_LLM_DATA/深盐海山20251217/北/D8_20251217094135_20251217095959.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/北/05__D8_20251217094135_20251217095959.jpg
深盐海山20251217	南	1	/data3/VLA_LLM_DATA/深盐海山20251217/南/D6_20251216082148_20251216084042.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/南/01__D6_20251216082148_20251216084042.jpg
深盐海山20251217	南	2	/data3/VLA_LLM_DATA/深盐海山20251217/南/D6_20251216084042_20251216085909.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/南/02__D6_20251216084042_20251216085909.jpg
深盐海山20251217	南	3	/data3/VLA_LLM_DATA/深盐海山20251217/南/D6_20251216093615_20251216095457.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/南/03__D6_20251216093615_20251216095457.jpg
深盐海山20251217	南	4	/data3/VLA_LLM_DATA/深盐海山20251217/南/D6_20251216080000_20251216080254.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/南/04__D6_20251216080000_20251216080254.jpg
深盐海山20251217	南	5	/data3/VLA_LLM_DATA/深盐海山20251217/南/D6_20251216085909_20251216091737.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/南/05__D6_20251216085909_20251216091737.jpg
深盐海山20251217	西	1	/data3/VLA_LLM_DATA/深盐海山20251217/西/D1_20251216194306_20251216200034.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/西/01__D1_20251216194306_20251216200034.jpg
深盐海山20251217	西	2	/data3/VLA_LLM_DATA/深盐海山20251217/西/D1_20251216205238_20251216205959.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/西/02__D1_20251216205238_20251216205959.jpg
深盐海山20251217	西	3	/data3/VLA_LLM_DATA/深盐海山20251217/西/D1_20251217080000_20251217080737.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/西/03__D1_20251217080000_20251217080737.jpg
深盐海山20251217	西	4	/data3/VLA_LLM_DATA/深盐海山20251217/西/D1_20251217003747_20251217005503.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/西/04__D1_20251217003747_20251217005503.jpg
深盐海山20251217	西	5	/data3/VLA_LLM_DATA/深盐海山20251217/西/D1_20251217082525_20251217084314.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐海山20251217/西/05__D1_20251217082525_20251217084314.jpg
红荔西路农轩20251230	东	1	/data3/VLA_LLM_DATA/红荔西路农轩20251230/东/00000000492000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/东/01__00000000492000000.jpg
红荔西路农轩20251230	东	2	/data3/VLA_LLM_DATA/红荔西路农轩20251230/东/00000000322000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/东/02__00000000322000000.jpg
红荔西路农轩20251230	东	3	/data3/VLA_LLM_DATA/红荔西路农轩20251230/东/00000000311000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/东/03__00000000311000000.jpg
红荔西路农轩20251230	东	4	/data3/VLA_LLM_DATA/红荔西路农轩20251230/东/00000000331000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/东/04__00000000331000000.jpg
